,company,location,salary_from,salary_to,technologies,title
0,JP Morgan Chase,"Herzliya, Israel",,,"['angular', 'backend', 'python']","Web Software Development Team Leader at JP Morgan Chase (Herzliya, Israel)"
1,JP Morgan Chase,"Herzliya, Israel",,,"['java', 'jvm', 'sql', 'elastic']","Core Java Software Developer at JP Morgan Chase (Herzliya, Israel)"
2,CegedimRX,"Leyland, UK",59346.0,65940.0,"['c#', 'asp.net-core', 'asp.net', 'postgresql', 'windows-10']","Software Developer - Technical Lead at CegedimRX (Leyland, UK)"
3,Comcast,"Wayne, PA",,,"['hadoop', 'bigdata', 'project-management']","Senior Database Software Engineer at Comcast (Wayne, PA)"
4,Factil,"Melbourne, Australia",69017.4,92023.2,"['ruby-on-rails', 'go', 'javascript', 'typescript', 'postgresql']","Ruby on Rails/Go Web Developer at Factil (Melbourne, Australia)"
5,Nautilus Labs,"New York, NY",80000.0,140000.0,"['go', 'reactjs', 'amazon-web-services', 'docker', 'git']","Full-Stack Software Engineer at Nautilus Labs (New York, NY)"
6,Skillstream LTD,"London, UK",65940.0,98910.0,"['ruby-on-rails', 'git', 'javascript', 'sql']","Senior Ruby Developer - Healthcare App at Skillstream LTD (London, UK)"
7,Media Monks,"Hilversum, Netherlands",,,"['php', 'drupal', 'css', 'drupal-7']","Drupal Developer for Media Monks - World-class production company at Media Monks (Hilversum, Netherlands)"
8,zed IT Solutions,"St. John's, NL, Canada",,,"['.net', 'c#', 'vb.net', 'asp.net-mvc', 'asp.net-web-api']",".NET Developer at zed IT Solutions (St. John's, NL, Canada) (allows remote)"
9,Comcast,"West Chester, PA",,,"['project-management', 'web-services']","Solution Architect, Payment Technology at Comcast (West Chester, PA)"
10,Comcast,"Wayne, PA",,,"['qa', 'design']","Eng 5, Software Dev & Engineering at Comcast (Wayne, PA)"
11,Comcast,"Wayne, PA",,,[],"Eng 2, Software Dev & Engineering at Comcast (Wayne, PA)"
12,Comcast,"Philadelphia, PA",,,"['project-management', 'design']","Software Engineer at Comcast (Philadelphia, PA)"
13,Comcast,"Philadelphia, PA",,,"['project-management', 'web-services', 'user-interface']","Software Engineer at Comcast (Philadelphia, PA)"
14,Comcast,"Philadelphia, PA",,,"['qa', 'design']","Principal Developer Advocate and Evangelist at Comcast (Philadelphia, PA)"
15,Comcast,"Philadelphia, PA",,,"['design', 'oop', 'user-interface']","Principal Architect, Software Architecture at Comcast (Philadelphia, PA)"
16,Comcast,"Philadelphia, PA",,,['sql-server'],"Engineer 2, Incident Management at Comcast (Philadelphia, PA)"
17,Comcast,"Philadelphia, PA",,,['sql-server'],"Engineer 2, Incident Management at Comcast (Philadelphia, PA)"
18,Comcast,"Philadelphia, PA",,,['sql-server'],"Engineer 2, Incident Management at Comcast (Philadelphia, PA)"
19,Comcast,"Philadelphia, PA",,,['project-management'],"Eng 1, Engineering Ops at Comcast (Philadelphia, PA)"
20,Comcast,"Philadelphia, PA",,,['project-management'],"Eng 1, Engineering Ops at Comcast (Philadelphia, PA)"
